ID,SemesterID,YearCode,NPM,ScheduleID,MKCode,MKName,MKNameEng,Evaluasi1,Evaluasi2,Evaluasi3,Evaluasi4,Evaluasi5,UTS,UAS,Score,Grade,Approval,TotalSKS
7433,6,20152,21140012,855,ARC4051,"Introduction to Landscape Architecture","Introduction to Landscape Architecture",72,75,65,,,62,70,67.40,B-,1,3
7673,6,20152,21140017,855,ARC4051,"Introduction to Landscape Architecture","Introduction to Landscape Architecture",72,75,65,,,62,70,67.40,B-,1,3
7398,6,20152,21140007,849,ARC4034,"Architecture Technology and Environment 4","Architecture Technology and Environment 4",90,65,,,,86,85,83.10,A-,1,3
7432,6,20152,21140012,849,ARC4034,"Architecture Technology and Environment 4","Architecture Technology and Environment 4",70,80,,,,72,53,66.20,B-,1,3
7672,6,20152,21140017,849,ARC4034,"Architecture Technology and Environment 4","Architecture Technology and Environment 4",78,85,,,,72,88,80.40,A-,1,3
7399,6,20152,21140007,1037,ARC4044,"Architecture Design Studio 4","Architecture Design Studio 4",76.7,65.25,,,,69.33,71.75,70.60,B,1,6
7434,6,20152,21140012,1039,ARC4044,"Architecture Design Studio 4","Architecture Design Studio 4",88.3,43.50,,,,60.67,66.50,64.20,C+,1,6
7671,6,20152,21140017,1037,ARC4044,"Architecture Design Studio 4","Architecture Design Studio 4",78.33,51,,,,72,74.50,70.60,B,1,6
7400,6,20152,21140007,860,ARC4081,"Interior Design","Interior Design",85,79.6,80.2,97.8,80,72.95,82.26,79.90,B+,1,3
7435,6,20152,21140012,860,ARC4081,"Interior Design","Interior Design",85,79.6,80.2,97.8,80,58.74,84.51,76.70,B+,1,3
7401,6,20152,21140007,879,ARC4024,"Architecture Modelling and Simulation","Architecture Modelling and Simulation",80,100,77.5,,,95.33,80.63,86.60,A,1,3
7436,6,20152,21140012,879,ARC4024,"Architecture Modelling and Simulation","Architecture Modelling and Simulation",70,100,82.5,,,87.67,66.25,78.00,B+,1,3
7674,6,20152,21140017,879,ARC4024,"Architecture Modelling and Simulation","Architecture Modelling and Simulation",60,100,67.5,,,75,80,77.20,B+,1,3
7402,6,20152,21140007,1041,MKU003,"Indonesia Language and Academic Writing","Indonesia Language and Academic Writing",80,85,,,,85,98,89.40,A,1,2
7675,6,20152,21140017,1041,MKU003,"Indonesia Language and Academic Writing","Indonesia Language and Academic Writing",80,85,,,,85,96,88.60,A,1,2
7403,6,20152,21140007,880,MKU002,Citizenship,Citizenship,80,83,,,,84,88,84.80,A-,1,2
7431,6,20152,21140012,880,MKU002,Citizenship,Citizenship,82,80,,,,88,80,82.70,A-,1,2
7676,6,20152,21140017,880,MKU002,Citizenship,Citizenship,87,95,,,,93,82,88.00,A,1,2
7700,6,20152,12140002,977,SOC4005,"Information Technology","Information Technology",85,,,,,82,83,83.10,A-,1,3
7701,6,20152,12140010,977,SOC4005,"Information Technology","Information Technology",85,,,,,80,80,81.00,A-,1,3
7702,6,20152,12140011,977,SOC4005,"Information Technology","Information Technology",90,,,,,80,80,82.00,A-,1,3
7703,6,20152,12140009,1002,SOC4009,"SME Integration","SME Integration",80,,,,,78,76.67,77.70,B+,1,1
7692,6,20152,12140002,1000,SOC4006,"Principle of Marketing","Principle of Marketing",88,85,82,95,,81.16,91.63,87.60,A,1,3
7693,6,20152,12140009,1000,SOC4006,"Principle of Marketing","Principle of Marketing",85,81,82,95,,79,88.6,85.10,A,1,3
7694,6,20152,12140010,1000,SOC4006,"Principle of Marketing","Principle of Marketing",88,85,82,95,,81.16,81.63,82.60,A-,1,3
7695,6,20152,12140011,1000,SOC4006,"Principle of Marketing","Principle of Marketing",88,85,82,95,,81.16,90.88,87.20,A,1,3
7696,6,20152,12140002,1011,SOC4007,"Principle of Finance","Principle of Finance",70,,,,,60,80,70.00,B,1,3
7697,6,20152,12140009,1011,SOC4007,"Principle of Finance","Principle of Finance",65,,,,,70,70,68.50,B-,1,3
7698,6,20152,12140010,1011,SOC4007,"Principle of Finance","Principle of Finance",85,,,,,60,40,60.50,C+,1,3
7699,6,20152,12140011,1011,SOC4007,"Principle of Finance","Principle of Finance",80,,,,,85,90,85.20,A,1,3
7689,6,20152,12140002,975,SOC4008,"Natural Science and Technology 2","Natural Science and Technology 2",100,90,90,,,98,94,95.20,A,1,4
7691,6,20152,12140011,975,SOC4008,"Natural Science and Technology 2","Natural Science and Technology 2",85,90,90,,,96,96,93.70,A,1,4
7704,6,20152,12140009,975,SOC4008,"Natural Science and Technology 2","Natural Science and Technology 2",80,80,85,,,74,68,74.20,B,1,4
7685,6,20152,12140002,1016,SOC3001,"Managerial Accounting","Managerial Accounting",85,85,85,78,85,93,90,88.90,A,1,3
7686,6,20152,12140009,1016,SOC3001,"Managerial Accounting","Managerial Accounting",70,75,80,70,75,55,60,62.70,C+,1,3
7687,6,20152,12140010,1016,SOC3001,"Managerial Accounting","Managerial Accounting",65,75,80,75,75,57,55,61.30,C+,1,3
7688,6,20152,12140011,1016,SOC3001,"Managerial Accounting","Managerial Accounting",85,85,80,75,80,95,81,85.20,A,1,3
7472,6,20152,31140005,887,HBP4017T,"French A2-1 Theory","French A2-1 Theory",,,45,,,0,45,20.25,E,1,2
7475,6,20152,31140014,887,HBP4017T,"French A2-1 Theory","French A2-1 Theory",90,58.5,64,,,44,80,64.65,C+,1,2
7476,6,20152,31140001,1047,HBP4017T,"French A2-1 Theory","French A2-1 Theory",65,62.5,75,81.25,75,47,61,59.33,C,1,2
7477,6,20152,31140002,1047,HBP4017T,"French A2-1 Theory","French A2-1 Theory",75,87.5,100,65,100,72,63,72.90,B,1,2
7478,6,20152,31140003,1047,HBP4017T,"French A2-1 Theory","French A2-1 Theory",,,,57.75,60,0,41,21.41,E,1,2
7479,6,20152,31140008,1047,HBP4017T,"French A2-1 Theory","French A2-1 Theory",65,80,50,,70,52,56,53.70,D,1,2
7480,6,20152,31140009,1047,HBP4017T,"French A2-1 Theory","French A2-1 Theory",,,95,97.5,100,98,79,79.50,B+,1,2
7481,6,20152,31140010,1047,HBP4017T,"French A2-1 Theory","French A2-1 Theory",,,65,71,90,86,78,70.96,B,1,2
7482,6,20152,31140012,1047,HBP4017T,"French A2-1 Theory","French A2-1 Theory",,10,50,66.25,75,62,49,50.92,D,1,2
7484,6,20152,31140023,1047,HBP4017T,"French A2-1 Theory","French A2-1 Theory",,20,55,68.75,80,62,66,58.23,C,1,2
7485,6,20152,31140037,1047,HBP4017T,"French A2-1 Theory","French A2-1 Theory",,,50,77.5,65,56,49,48.30,D,1,2
7562,6,20152,31140004,1047,HBP4017T,"French A2-1 Theory","French A2-1 Theory",,,40,63.75,55,73,62,56.77,C,1,2
7563,6,20152,31140020,1047,HBP4017T,"French A2-1 Theory","French A2-1 Theory",,,45,53.75,60,67,42,47.67,D,1,2
7564,6,20152,31140021,1047,HBP4017T,"French A2-1 Theory","French A2-1 Theory",,,60,58.75,95,49,65,52.73,D,1,2
7583,6,20152,31140022,887,HBP4017T,"French A2-1 Theory","French A2-1 Theory",,,58,,,0,72,31.00,E,1,2
7590,6,20152,31140025,1047,HBP4017T,"French A2-1 Theory","French A2-1 Theory",,,35,82.5,75,72,74,62.65,C+,1,2
7591,6,20152,31140013,887,HBP4017T,"French A2-1 Theory","French A2-1 Theory",,,60,,,0,69,30.15,E,1,2
7629,6,20152,31140015,887,HBP4017T,"French A2-1 Theory","French A2-1 Theory",,25,64,,,38,62,43.90,D,1,2
7642,6,20152,31140027,887,HBP4017T,"French A2-1 Theory","French A2-1 Theory",,,,,,0,73,25.55,E,1,2
7654,6,20152,31140006,887,HBP4017T,"French A2-1 Theory","French A2-1 Theory",,,54,,,0,76,32.00,E,1,2
7458,6,20152,31140005,941,HBP4017P,"French A2-1 Practical","French A2-1 Practical",,84,,,,55,67,55.30,D,1,2
7461,6,20152,31140014,941,HBP4017P,"French A2-1 Practical","French A2-1 Practical",90,96,,,,63,91,81.80,A-,1,2
7462,6,20152,31140001,943,HBP4017P,"French A2-1 Practical","French A2-1 Practical",60,,,,,49,60,56.10,C,1,2
7463,6,20152,31140002,943,HBP4017P,"French A2-1 Practical","French A2-1 Practical",65,,,,,81,65,70.60,B,1,2
7464,6,20152,31140003,943,HBP4017P,"French A2-1 Practical","French A2-1 Practical",51,,,,,55,51,52.40,D,1,2
7465,6,20152,31140008,943,HBP4017P,"French A2-1 Practical","French A2-1 Practical",62,,,,,60,62,61.30,C+,1,2
7466,6,20152,31140009,943,HBP4017P,"French A2-1 Practical","French A2-1 Practical",95,,,,,96,95,95.30,A,1,2
7467,6,20152,31140010,943,HBP4017P,"French A2-1 Practical","French A2-1 Practical",81,,,,,65,81,75.40,B+,1,2
